PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR,Age,Games_Played,RZ_Rec,RZ_Tgt,RZ_Rec_Pct,RZ_Yds,RZ_Y_R,RZ_TD,RZ_Tgt_Pct,RZ_Rush_Att,RZ_Rush_Yds,RZ_Rush_TD,RZ_Rush_Pct,RZ_FL,RZ_G,RZ_FPTS,RZ_FPTS_G,RZ_Rost_Pct
TE0082,Josh Whyle,2024,177,28,248,7.30%,1,143,5.65,75.68%,15.68,0.21,1.40,25,17,2,3,0.667,20,10.0,1,0.231,0,0,0,0.0,0,17,8.0,0.5,0.006
TE0096,A.J. Barner,2024,215,30,245,6.68%,4,164,3.58,78.95%,19.80,0.18,1.14,22,17,4,5,0.8,35,8.8,3,0.5,0,0,0,0.0,0,17,21.5,1.3,0.209
TE0086,Luke Schoonmaker,2024,179,27,241,5.79%,1,97,5.53,75%,15.42,0.20,1.35,26,17,,,,,,,,,,,,,,,,
TE0048,Tommy Tremble,2024,261,23,234,8.29%,2,125,5.69,71.88%,17.31,0.12,0.90,,,2,3,0.667,8,4.0,1,0.333,0,0,0,0.0,0,12,6.8,0.6,0.006
TE0073,Stone Smartt,2024,115,16,208,4.25%,0,66,10.11,84.21%,10.02,0.17,1.81,,,,,,,,,,,,,,,,,,
TE0088,Darnell Washington,2024,156,19,200,5.43%,1,126,4.32,76%,16.14,0.16,1.28,,,1,2,0.5,5,5.0,1,0.118,0,0,0,0.0,0,17,6.5,0.4,0.069
TE0043,Adam Trautman,2024,183,13,188,4.01%,2,98,5.68,59.09%,15.18,0.12,1.03,,,4,5,0.8,47,11.8,2,0.625,0,0,0,0.0,0,17,16.7,1.0,0.006
TE0067,Taysom Hill,2024,112,23,187,13.84%,0,137,3.48,74.19%,31.92,0.28,1.67,34,8,2,2,1.0,7,3.5,0,0.125,9,38,4,1.0,1,8,26.5,3.3,0.007
TE0035,Kylen Granson,2024,243,14,182,6.30%,0,109,11.35,45.16%,14.43,0.13,0.75,,,,,,,,,,,,,,,,,,
TE0072,Elijah Higgins,2024,171,20,172,4.59%,2,90,4.50,83.33%,11.94,0.14,1.01,,,3,3,1.0,27,9.0,2,0.125,0,0,0,0.0,0,17,14.7,0.9,0.006
TE0097,Erick All,2024,102,20,158,7.59%,0,87,3.27,90.91%,6.99,0.22,1.55,,,,,,,,,,,,,,,,,,
TE0066,Michael Mayer,2024,227,21,156,7.98%,0,61,6.16,65.63%,7.83,0.14,0.69,,,,,,,,,,,,,,,,,,
TE0059,Tanner Hudson,2024,78,19,154,5.18%,1,97,4.26,82.61%,12.54,0.29,1.97,,,4,4,1.0,30,7.5,1,0.222,0,0,0,0.0,1,11,7.0,0.6,0.023
TE0081,Lucas Krull,2024,220,19,152,5.54%,0,67,5.13,82.61%,6.24,0.10,0.69,,,,,,,,,,,,,,,,,,
TE0045,Mo Alie-Cox,2024,148,12,147,4.47%,1,49,9.59,54.55%,16.68,0.15,0.99,,,2,5,0.4,24,12.0,1,0.357,0,0,0,0.0,0,17,8.4,0.5,0.006
TE0055,Johnny Mundt,2024,189,19,142,5.22%,2,83,4.26,70.37%,10.90,0.14,0.75,,,3,5,0.6,13,4.3,2,0.313,0,0,0,0.0,0,15,13.3,0.9,0.0
TE0098,Nick Vannett,2024,97,17,135,3.94%,3,110,1.10,85%,11.23,0.21,1.39,,,4,5,0.8,17,4.3,3,0.385,0,0,0,0.0,0,13,19.7,1.5,0.0
TE0099,Cade Stover,2024,141,15,133,4.54%,1,94,5.36,68.18%,8.44,0.16,0.94,,,3,3,1.0,24,8.0,1,0.3,0,0,0,0.0,0,15,8.4,0.6,0.006
TE0084,Charlie Kolar,2024,45,9,131,3.06%,1,76,6,81.82%,11.05,0.24,2.91,,,1,1,1.0,2,2.0,1,0.034,0,0,0,0.0,0,13,6.2,0.5,0.014
TE0037,Daniel Bellinger,2024,181,14,125,3.07%,0,53,4.06,82.35%,6.42,0.09,0.69,,,,,,,,,,,,,,,,,,
TE0100,Nate Adkins,2024,131,14,115,2.73%,3,76,4.13,93.33%,9.58,0.11,0.88,,,3,3,1.0,30,10.0,3,0.375,0,0,0,0.0,0,17,21.0,1.2,0.01
